Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
0.450153,1.232821,0.907848,0.57025,4.568961,0,,,,,110.05112,1.E.9,0.457634,1.123492
0.458182,1.222029,0.923907,0.570412,4.649249,0,,,,,111.849987,1.E.10,0.465663,1.123967
0.46621,1.210787,0.939965,0.57058,4.729538,0,,,,,113.648784,1.E.11,0.473691,1.124443
0.474239,1.200937,0.956023,0.570758,4.809826,0,,,,,115.456012,1.E.12,0.48172,1.124918
0.482268,1.191533,0.972082,0.570927,4.890115,0,,,,,117.254863,1.F.1,0.489749,1.125348
0.490296,1.183082,0.98814,0.57108,4.970403,0,,,,,119.053699,1.F.2,0.497777,1.125778
0.498325,1.174038,1.004199,0.571214,5.050692,0,,,,,120.852588,1.F.3,0.505806,1.126208
0.506354,1.166628,1.020257,0.571359,5.13098,0,,,,,122.659778,1.F.4,0.513835,1.126638
0.514382,1.158475,1.036316,0.571508,5.211268,0,,,,,124.392002,Waste(Frac),0.521863,1.127068
0.522411,1.152346,1.052374,0.571664,5.291557,0,,,,,124.996349,Waste,0.529892,1.127498
0.53044,1.147642,1.068432,0.571847,5.371845,0,,,,,125.016628,1.F.5,0.537921,1.127928
0.538468,1.141141,1.084491,0.571988,5.452134,0,,,,,126.511035,1.F.6,0.545949,1.128357
0.546497,1.134774,1.100549,0.572122,5.532422,0,,,,,128.018474,1.F.7,0.553978,1.127327
0.554526,1.127327,1.116608,0.572282,5.612711,0,,,,,129.51762,1.F.8,0.562007,1.122033
0.562554,1.122033,1.132666,0.572457,5.692999,0,,,,,131.01678,1.F.9,0.570035,1.118179
0.570583,1.118179,1.148724,0.572655,5.773288,0,,,,,132.515926,1.F.10,0.578064,1.114558
0.578612,1.114558,1.164783,0.572776,5.853576,0,,,,,134.015102,1.F.11,0.586093,1.110069
0.58664,1.110069,1.180841,0.572944,5.933865,0,,,,,135.514354,1.F.12,0.594121,1.108363
